movement_id,product_id,movement_type,quantity_change,reference_id,movement_date,unit_cost,notes,_loaded_at
INV-0000001,PROD-0021,production_receipt,79,PRN-00001,2025-11-27,20.44,Receipt from production run PRN-00001,2026-04-28T19:39:28.654093
INV-0000002,PROD-0010,production_receipt,196,PRN-00002,2025-11-02,22.47,Receipt from production run PRN-00002,2026-04-28T19:39:28.654098
INV-0000003,PROD-0010,production_receipt,410,PRN-00003,2025-11-04,12.02,Receipt from production run PRN-00003,2026-04-28T19:39:28.654100
INV-0000004,PROD-0015,production_receipt,192,PRN-00004,2026-02-06,11.22,Receipt from production run PRN-00004,2026-04-28T19:39:28.654103
INV-0000005,PROD-0014,production_receipt,385,PRN-00007,2025-06-07,22.51,Receipt from production run PRN-00007,2026-04-28T19:39:28.654106
INV-0000006,PROD-0014,production_receipt,55,PRN-00008,2025-05-25,10.94,Receipt from production run PRN-00008,2026-04-28T19:39:28.654109
INV-0000007,PROD-0024,production_receipt,127,PRN-00009,2026-01-24,11.95,Receipt from production run PRN-00009,2026-04-28T19:39:28.654112
INV-0000008,PROD-0001,production_receipt,308,PRN-00010,2025-10-08,11.87,Receipt from production run PRN-00010,2026-04-28T19:39:28.654115
INV-0000009,PROD-0014,production_receipt,307,PRN-00013,2025-10-19,12.42,Receipt from production run PRN-00013,2026-04-28T19:39:28.654118
INV-0000010,PROD-0012,production_receipt,406,PRN-00017,2025-12-31,20.26,Receipt from production run PRN-00017,2026-04-28T19:39:28.654121
INV-0000011,PROD-0015,production_receipt,353,PRN-00018,2025-07-24,10.35,Receipt from production run PRN-00018,2026-04-28T19:39:28.654124
INV-0000012,PROD-0007,production_receipt,79,PRN-00019,2026-01-22,22.23,Receipt from production run PRN-00019,2026-04-28T19:39:28.654127
INV-0000013,PROD-0010,production_receipt,391,PRN-00020,2024-12-17,9.51,Receipt from production run PRN-00020,2026-04-28T19:39:28.654130
INV-0000014,PROD-0013,production_receipt,419,PRN-00022,2025-08-26,19.48,Receipt from production run PRN-00022,2026-04-28T19:39:28.654136
INV-0000015,PROD-0016,production_receipt,347,PRN-00027,2025-03-06,16.22,Receipt from production run PRN-00027,2026-04-28T19:39:28.654140
INV-0000016,PROD-0014,production_receipt,56,PRN-00031,2026-03-26,10.6,Receipt from production run PRN-00031,2026-04-28T19:39:28.654143
INV-0000017,PROD-0024,production_receipt,384,PRN-00032,2025-12-24,11.38,Receipt from production run PRN-00032,2026-04-28T19:39:28.654146
INV-0000018,PROD-0010,production_receipt,400,PRN-00037,2025-03-07,15.63,Receipt from production run PRN-00037,2026-04-28T19:39:28.654149
INV-0000019,PROD-0019,production_receipt,160,PRN-00038,2025-05-26,15.88,Receipt from production run PRN-00038,2026-04-28T19:39:28.654152
INV-0000020,PROD-0025,production_receipt,157,PRN-00041,2025-12-28,16.51,Receipt from production run PRN-00041,2026-04-28T19:39:28.654155
INV-0000021,PROD-0023,production_receipt,252,PRN-00043,2025-03-10,11.62,Receipt from production run PRN-00043,2026-04-28T19:39:28.654158
INV-0000022,PROD-0009,production_receipt,383,PRN-00044,2026-01-25,4.95,Receipt from production run PRN-00044,2026-04-28T19:39:28.654164
