order_item_id,order_id,product_id,quantity,unit_price,discount_amount,_loaded_at
ITEM-0000001,ORD-001480,PROD-0018,4,99.3,0,2026-04-24T19:23:36.419370
ITEM-0000002,ORD-000031,PROD-0017,2,209.74,0,2026-04-24T19:23:36.419377
ITEM-0000003,ORD-000136,PROD-0012,2,127.67,0,2026-04-24T19:23:36.419383
ITEM-0000004,ORD-000851,PROD-0004,4,225.69,0,2026-04-24T19:23:36.419387
ITEM-0000005,ORD-001236,PROD-0018,4,99.3,0,2026-04-24T19:23:36.419392
ITEM-0000006,ORD-000962,PROD-0021,1,114.51,0,2026-04-24T19:23:36.419397
ITEM-0000007,ORD-001106,PROD-0009,2,148.27,0,2026-04-24T19:23:36.419404
ITEM-0000008,ORD-001534,PROD-0012,1,127.67,0,2026-04-24T19:23:36.419410
ITEM-0000009,ORD-001055,PROD-0019,2,22.94,0,2026-04-24T19:23:36.419414
ITEM-0000010,ORD-000169,PROD-0005,2,212.75,0,2026-04-24T19:23:36.419420
ITEM-0000011,ORD-000579,PROD-0024,1,227.6,0,2026-04-24T19:23:36.419424
ITEM-0000012,ORD-000514,PROD-0020,1,44.26,0,2026-04-24T19:23:36.419429
ITEM-0000013,ORD-001995,PROD-0006,3,60.51,0,2026-04-24T19:23:36.419434
ITEM-0000014,ORD-000270,PROD-0015,3,168.32,0,2026-04-24T19:23:36.419439
ITEM-0000015,ORD-000298,PROD-0011,4,12.34,0,2026-04-24T19:23:36.419446
ITEM-0000016,ORD-001638,PROD-0019,1,22.94,0,2026-04-24T19:23:36.419450
ITEM-0000017,ORD-000374,PROD-0013,1,204.94,0,2026-04-24T19:23:36.419455
ITEM-0000018,ORD-001711,PROD-0001,2,110.4,0,2026-04-24T19:23:36.419460
ITEM-0000019,ORD-000024,PROD-0008,2,218.02,0,2026-04-24T19:23:36.419465
ITEM-0000020,ORD-000705,PROD-0019,4,22.94,0,2026-04-24T19:23:36.419469
ITEM-0000021,ORD-000440,PROD-0007,4,231.01,0,2026-04-24T19:23:36.419474
ITEM-0000022,ORD-000242,PROD-0015,3,168.32,0,2026-04-24T19:23:36.419479
ITEM-0000023,ORD-001054,PROD-0024,3,227.6,0,2026-04-24T19:23:36.419484
ITEM-0000024,ORD-000699,PROD-0011,3,12.34,0.34,2026-04-24T19:23:36.419490
ITEM-0000025,ORD-001369,PROD-0016,4,263.57,0,2026-04-24T19:23:36.419495
ITEM-0000026,ORD-000749,PROD-0011,3,12.34,0,2026-04-24T19:23:36.419502
ITEM-0000027,ORD-000466,PROD-0014,1,118.27,2.24,2026-04-24T19:23:36.419508
ITEM-0000028,ORD-001460,PROD-0015,1,168.32,0,2026-04-24T19:23:36.419515
ITEM-0000029,ORD-000894,PROD-0010,2,169.89,7.82,2026-04-24T19:23:36.419521
ITEM-0000030,ORD-000374,PROD-0018,1,99.3,14.47,2026-04-24T19:23:36.419527
ITEM-0000031,ORD-001394,PROD-0013,2,204.94,0,2026-04-24T19:23:36.419532
ITEM-0000032,ORD-001525,PROD-0008,1,218.02,0,2026-04-24T19:23:36.419537
ITEM-0000033,ORD-001087,PROD-0012,2,127.67,0,2026-04-24T19:23:36.419541
ITEM-0000034,ORD-000472,PROD-0017,1,209.74,11.41,2026-04-24T19:23:36.419547
ITEM-0000035,ORD-000206,PROD-0023,2,247.1,0,2026-04-24T19:23:36.419552
ITEM-0000036,ORD-001760,PROD-0022,2,136.57,0,2026-04-24T19:23:36.419557
ITEM-0000037,ORD-000312,PROD-0020,2,44.26,4.99,2026-04-24T19:23:36.419562
ITEM-0000038,ORD-001965,PROD-0018,4,99.3,4.15,2026-04-24T19:23:36.419569
ITEM-0000039,ORD-001069,PROD-0013,3,204.94,0,2026-04-24T19:23:36.419573
ITEM-0000040,ORD-000279,PROD-0014,4,118.27,0,2026-04-24T19:23:36.419578
ITEM-0000041,ORD-000515,PROD-0024,3,227.6,0,2026-04-24T19:23:36.419592
ITEM-0000042,ORD-001503,PROD-0023,3,247.1,0,2026-04-24T19:23:36.419598
ITEM-0000043,ORD-000841,PROD-0020,1,44.26,0,2026-04-24T19:23:36.419606
ITEM-0000044,ORD-000329,PROD-0005,2,212.75,0,2026-04-24T19:23:36.419610
ITEM-0000045,ORD-000327,PROD-0025,2,95.46,0,2026-04-24T19:23:36.419615
ITEM-0000046,ORD-000397,PROD-0021,4,114.51,0,2026-04-24T19:23:36.419620
ITEM-0000047,ORD-001973,PROD-0008,3,218.02,0,2026-04-24T19:23:36.419624
ITEM-0000048,ORD-001515,PROD-0009,2,148.27,2.75,2026-04-24T19:23:36.419630
ITEM-0000049,ORD-000292,PROD-0019,2,22.94,0,2026-04-24T19:23:36.419635
ITEM-0000050,ORD-000023,PROD-0022,3,136.57,0,2026-04-24T19:23:36.419640
ITEM-0000051,ORD-001074,PROD-0021,1,114.51,0,2026-04-24T19:23:36.419644
ITEM-0000052,ORD-000898,PROD-0004,4,225.69,0,2026-04-24T19:23:36.419649
ITEM-0000053,ORD-001250,PROD-0010,1,169.89,0,2026-04-24T19:23:36.419653
ITEM-0000054,ORD-001545,PROD-0015,2,168.32,0,2026-04-24T19:23:36.419661
ITEM-0000055,ORD-000084,PROD-0024,3,227.6,32.42,2026-04-24T19:23:36.419668
ITEM-0000056,ORD-000956,PROD-0013,3,204.94,0,2026-04-24T19:23:36.419672
ITEM-0000057,ORD-001628,PROD-0014,2,118.27,12.27,2026-04-24T19:23:36.419678
ITEM-0000058,ORD-000212,PROD-0016,3,263.57,0,2026-04-24T19:23:36.419682
ITEM-0000059,ORD-001741,PROD-0003,3,22.33,0,2026-04-24T19:23:36.419687
ITEM-0000060,ORD-000864,PROD-0022,4,136.57,19.73,2026-04-24T19:23:36.419693
ITEM-0000061,ORD-001483,PROD-0002,1,191.67,8.06,2026-04-24T19:23:36.419699
ITEM-0000062,ORD-000674,PROD-0024,3,227.6,21.86,2026-04-24T19:23:36.419704
ITEM-0000063,ORD-000208,PROD-0014,3,118.27,1.47,2026-04-24T19:23:36.419710
ITEM-0000064,ORD-001014,PROD-0023,4,247.1,0,2026-04-24T19:23:36.419714
ITEM-0000065,ORD-000213,PROD-0008,4,218.02,0,2026-04-24T19:23:36.419719
ITEM-0000066,ORD-001716,PROD-0025,4,95.46,0,2026-04-24T19:23:36.419724
ITEM-0000067,ORD-001783,PROD-0019,4,22.94,0,2026-04-24T19:23:36.419731
ITEM-0000068,ORD-000221,PROD-0022,4,136.57,0,2026-04-24T19:23:36.419736
ITEM-0000069,ORD-000241,PROD-0019,1,22.94,0,2026-04-24T19:23:36.419741
ITEM-0000070,ORD-001378,PROD-0025,2,95.46,0,2026-04-24T19:23:36.419748
ITEM-0000071,ORD-000082,PROD-0023,4,247.1,26.62,2026-04-24T19:23:36.419754
ITEM-0000072,ORD-001071,PROD-0012,4,127.67,10.98,2026-04-24T19:23:36.419760
ITEM-0000073,ORD-001593,PROD-0002,4,191.67,18.06,2026-04-24T19:23:36.419765
ITEM-0000074,ORD-000371,PROD-0014,1,118.27,0,2026-04-24T19:23:36.419770
ITEM-0000075,ORD-001886,PROD-0001,3,110.4,0,2026-04-24T19:23:36.419775
ITEM-0000076,ORD-001740,PROD-0014,1,118.27,0,2026-04-24T19:23:36.419779
ITEM-0000077,ORD-001994,PROD-0009,3,148.27,7.65,2026-04-24T19:23:36.419785
ITEM-0000078,ORD-000098,PROD-0008,3,218.02,0,2026-04-24T19:23:36.419790
ITEM-0000079,ORD-001301,PROD-0011,4,12.34,0,2026-04-24T19:23:36.419795
ITEM-0000080,ORD-001579,PROD-0009,2,148.27,0,2026-04-24T19:23:36.419802
ITEM-0000081,ORD-001543,PROD-0018,3,99.3,0,2026-04-24T19:23:36.419807
ITEM-0000082,ORD-000684,PROD-0012,2,127.67,16.41,2026-04-24T19:23:36.419813
ITEM-0000083,ORD-000627,PROD-0012,2,127.67,0,2026-04-24T19:23:36.419818
ITEM-0000084,ORD-000641,PROD-0004,1,225.69,0,2026-04-24T19:23:36.419822
ITEM-0000085,ORD-001550,PROD-0020,4,44.26,0,2026-04-24T19:23:36.419827
ITEM-0000086,ORD-001449,PROD-0013,2,204.94,0,2026-04-24T19:23:36.419831
ITEM-0000087,ORD-000897,PROD-0016,3,263.57,0,2026-04-24T19:23:36.419836
ITEM-0000088,ORD-000229,PROD-0012,2,127.67,6.18,2026-04-24T19:23:36.419842
